Region,Watershed,Segment Interval,Independent Variable,RMSPE,Mean Response,SD Response,Mean Residuals,SD Residuals,AIC,Bias,RAV,FileBaseName
CPF,CPF,10m,sfm_deposition_logtrans,0.027080640672175,0.040899829232137,0.0370795617702101,-0.186770450376523,0.782792234499241,-2361.15907951616,-0.0026225695413312,0.256511820837045,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,CPF,10m,sfm_erosion_logtrans,0.0493051253682779,0.0604710605948387,0.0691905916901628,-0.185028592835521,0.767729864976216,-1778.33331366394,-0.0065264301696523,0.399136701642474,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,CPF,10m,sfm_net change_logtrans,0.0580558775557058,0.0643481790464807,0.0673369889978261,-0.323458762012941,1.0901345767386,-1577.28033081704,-0.0040964413807719,0.274770068392686,ch_sfm_net_change_corr_0.7_evaluation
CPF,ME,10m,sfm_deposition_logtrans,0.0185530415667104,0.0244091125344003,0.0220172807826038,-0.217938847837845,0.835868091991381,-791.379891969156,0.000454628682342,0.0002714521936492,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,ME,10m,sfm_erosion_logtrans,0.0985147365016366,0.102248194933999,0.11995031963566,-0.340416861150133,1.03962176888758,-351.922893354626,4.47305132468311e-05,0.0013005611734632,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,ME,10m,sfm_net change_logtrans,0.0999549483838421,0.089832498133883,0.109256720937838,-0.540114853771838,1.43587497597232,-457.022398848961,0.0043566566659035,0.0012612551587929,ch_sfm_net_change_corr_0.7_evaluation
CPF,MM,10m,lidar_erosion_logtrans,0.0425849733304886,0.0570472078546338,0.0475520793548335,-0.369327044016112,1.29527110410947,-398.033031816954,0.0010845045226846,0.0006002541490426,ch_lidar_erosion_sum_corr_0.7_evaluation
CPF,MM,10m,sfm_deposition_logtrans,0.0169645021239753,0.0168282301213396,0.0180195884593972,-0.459086076018524,1.22028473127942,-625.928675095954,9.95765614325748e-05,0.000261362089112,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,MM,10m,sfm_erosion_logtrans,0.131939130484638,0.160414846680689,0.156258922872148,-0.303003314099995,1.02762366203499,-120.820340999213,-0.0012457146371928,0.0017140475260754,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,MM,10m,sfm_net change_logtrans,0.138048473209076,0.145258539137261,0.159266940694502,-0.442316298134068,1.30508543539254,-160.470665867643,-0.000908079332351,0.0017853916176159,ch_sfm_net_change_corr_0.7_evaluation
