Region,Watershed,Segment Interval,Independent Variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,source_file
CPF,CPF,10m,sfm_deposition_logtrans,(Intercept),-3.68665678935818,0.278843665149686,-13.2212320024525,0.0,-4.23318033036871,-3.14013324834765,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\tidy_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,ch_central.slope.difference,-0.113018573688055,0.0443655095945713,-2.54744225234559,0.010851581176005,-0.199973374649181,-0.0260637727269288,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\tidy_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,ch_curvature.median,0.0173800657592903,0.0760652032805831,0.228489046366972,0.819266070658569,-0.13170499314737,0.166465124665951,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\tidy_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,ch_slope.median,-0.123297185531937,0.071393300763749,-1.7270133781872,0.0841652608633052,-0.263225483766321,0.0166311127024468,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\tidy_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,ch_stream.power.central.diff,-0.0041277418944497,0.0023843493550304,-1.73118166838308,0.0834193678537705,-0.0088009807568708,0.0005454969679712,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\tidy_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,ch_valley_width,0.163142303518264,0.106734857521878,1.5284819533752,0.126392920858077,-0.0460541731196305,0.372338780156158,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\tidy_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,hs_curvature.median,0.001191248746071,0.0222288887405866,0.053590116895767,0.957261730772715,-0.0423765726018265,0.0447590700939686,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\tidy_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,hs_drainage_density,-0.0010809533961052,0.0239862789141413,-0.045065489314723,0.964055108998861,-0.0480931961909546,0.0459312893987442,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\tidy_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,hs_eastness.median,0.0085644727558485,0.0558166738335231,0.153439324983654,0.878051835191866,-0.100834197694676,0.117963143206373,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\tidy_results.csv
CPF,CPF,10m,sfm_deposition_logtrans,hs_extended.dnbr.median,0.0363084033623109,0.0643827932419328,0.563945761499877,0.572791045258245,-0.0898795526159661,0.162496359340588,CPF\Outputs\Segmented 10m\CPF sfm_deposition_logtrans\tidy_results.csv
