"n","p","npar","value","AIC","AICc","logLik","deviance","pseudo.r.squared","bootstrap_rep"
182,16,7,251.475286022206,297.475286022206,304.462627794358,-125.737643011103,90.5755056719009,0.28651690463975,1
182,16,7,244.344009927109,290.344009927109,297.33135169926,-122.172004963554,126.274091924407,0.14504785570242,2
182,16,7,205.307084840624,251.307084840624,258.294426612776,-102.653542420312,112.289154290799,0.199380370821728,3
182,16,7,203.783089800775,249.783089800775,256.770431572927,-101.891544900387,112.006382591941,0.207636271508471,4
182,16,7,239.703652978543,285.703652978543,292.690994750695,-119.851826489272,86.0658904598068,0.230632144614238,5
182,16,7,225.360503887212,271.360503887212,278.347845659363,-112.680251943606,97.5433836600424,0.278408682664441,6
182,16,7,210.02646063929,256.02646063929,263.013802411442,-105.013230319645,118.093651307561,0.260158631880627,7
182,16,7,237.38531555162,283.38531555162,290.372657323772,-118.69265777581,96.3032534158891,0.19959058417914,8
182,16,7,233.271852742705,279.271852742705,286.259194514857,-116.635926371353,111.1317298219,0.112222963701292,9
182,16,7,232.756992350653,278.756992350653,285.744334122805,-116.378496175326,91.996889316738,0.228914644079693,10
