"loocv_predictions","obs_values","se_fit"
2.44612183358365e-05,0.550915122708872,190.020407656604
0.0280945986412443,0.0322013014386977,0.213849472510755
0.088009073498587,0.0449343999382985,0.223847477661303
0.0734774638769997,0.0883395612013882,0.216651557859748
0.153420978753285,0.191186089235252,0.212393538879176
0.0704751091108747,0.0107965588384619,0.21206417708535
0.0976018114645479,0.180560994833499,0.227911830289482
0.0664506457198645,0.0377212409692645,0.229786990918093
0.0510971789038927,0.0244706111422825,0.211331410978437
0.381819363484301,0.0288071840047823,0.764712390098009
0.138635617181522,0.0399774478215426,0.217454320285822
0.0682470176611545,0.0387418466733172,0.214770892771062
0.0369659449755737,0.0573962587041554,0.298024140135989
0.00761578426784337,0.000273004400076049,0.215070932617832
0.0710523983279058,0.0755030883270166,0.210192479659088
0.0799413793436256,0.0976169358385475,0.251253728655517
0.0107002540266944,0.0040991057734023,0.23113864118808
0.13689554163514,0.367914915831204,0.216117551544342
0.0638542495511173,0.150694356229486,0.211927809931394
0.165500418703739,0.0813132741412809,0.21845343543406
0.104713468189997,0.199002268404521,0.227424985064859
0.0688748482547669,0.032771199329267,0.220308378726543
0.0778154843227917,0.0654431202638638,0.214982524404349
0.0985329875430629,0.116857138397455,0.258408614036435
0.0998637786902969,0.1240915933436,0.213530614157194
0.200068950872541,0.205171183888844,0.209890018742105
0.0117537861787512,0.0192651177214309,0.221080768655696
0.0254852047419839,0.0445646737927126,0.227072917778923
0.0392851697557233,0.0451392255344927,0.247520036842073
0.0738452465430394,0.0555060681900721,0.209242389233663
0.0865519972904255,0.258779887295191,0.222436789513913
0.0865263379012858,0.0411507626061426,0.24057021026877
0.0177218779704502,0.0114981935407416,0.223622762341091
0.0577995215103876,0.00187434442197537,0.217339357272853
0.0323558934474709,0.0156981376704635,0.215080821050353
0.0311729561309394,0.0303072561782756,0.241527338923712
0.089011349330679,0.119724860002572,0.232568333485842
0.126300995454473,0.18146693377177,0.228613709893188
0.106281272888253,0.0786833403281613,0.232480440579525
0.149371294255338,0.118485393645763,0.219045976094339
0.090585503402786,0.0985821700943034,0.212459200631849
0.0363878082170631,0.0347088159623415,0.245000096449731
0.0563339820879568,0.0124403749665406,0.235741585901718
0.215043487028363,0.63309603288165,0.211097064306946
0.0640542948201415,0.0498004733114223,0.211274442615634
0.150463030290638,0.216236263727344,0.215346208693158
0.0415062801370254,0.0302537667880865,0.213126627446049
0.00561451087824189,0.000437782265998972,0.231051050848756
0.0974206161493198,0.0725122020723048,0.217862639135856
0.0563339791221647,0.0373435552522986,0.215806920195371
0.247511200620579,0.212003866014629,0.212829002939571
0.0526619759070712,0.0538189254131605,0.223870117748493
0.00968030162092208,0.0160739057906203,0.220049559897658
0.141681961256762,0.0636615584266011,0.208924867532583
0.0359995093079884,0.034394532486811,0.228684765704873
0.23338452094476,0.259577725788069,0.224665998515342
0.0665743612857133,0.1687920348259,0.214086006844603
0.0702384558972716,0.0635540886803631,0.218006358890668
0.0730345540221998,0.222808567520677,0.225859151123197
0.0783454973083565,0.0732790194674456,0.22478349541871
0.055107408604624,0.0578161567978078,0.21634876763593
0.0453190077864124,0.0729229289186323,0.218560245156578
0.0682372336997591,0.0507185490681697,0.226955318477623
0.0595255186870991,0.0240117914060786,0.211682578377532
0.0765997286654974,0.0747942992151998,0.220700135039969
0.067488156206608,0.00716234088162238,0.221033929801835
0.0391658057262567,0.0629474262247811,0.260956438574511
0.0912798391709149,0.0474384165205583,0.287754820976965
0.0241841426940666,0.0233691866824898,0.246051127516811
0.0225909984575451,0.00467309656203841,0.206701103845546
0.0209070715574805,0.0216254962123949,0.218064319429758
0.00457216480352712,0.0074780570108345,0.265273984095178
0.0198317612935444,0.0146093683886648,0.226017280895326
0.0158207546929149,0.011940255949381,0.22124201655689
0.0152054963985548,0.00506175359553764,0.222693366430044
0.0291165249811847,0.0500803259416435,0.2213130347598
0.00779623492710151,0.00643300183024565,0.214300347153962
0.0330015132288291,0.0238985807613112,0.2127151687558
0.0241652317902452,0.00957128707395627,0.236954096330367
0.0116948687193714,0.0110950941571421,0.224648573023894
0.0313397274890627,0.0299670613940142,0.212510482129986
0.0217052462554771,0.00675602639361438,0.217737700430613
0.0203392673158293,0.00995291477461263,0.229133964953624
0.0228278539555376,0.0521758637033189,0.217946441857585
0.0098540451441143,0.00620619581554564,0.222029455622629
0.022695812823093,0.0394101699905004,0.34320410215031
0.013980677546928,0.00755968472731837,0.224815307969549
0.282053924910884,0.223095387420533,0.247093190700772
0.170519200264378,0.633416824808965,0.235486565147832
0.0809030478934442,0.0768925708899512,0.240551143320957
0.0172752081941443,0.00403957356887231,0.239886526444547
0.0113175592646427,0.000826409582092367,0.280995170793062
0.0103604102384009,0.00283337815154817,0.286895899581751
0.00318912805352682,0.00436405834220544,0.249412900919706
0.015229785048236,0.000152872462094767,0.227064313249884
0.0138135205767774,0.000120720453287522,0.194110502829109
0.0180247730802046,0.000136878338975073,0.206616618965222
0.0490557061157025,9.28084159745949e-05,0.184434623465983
0.0756394397821521,0.522275145768056,0.192826454901112
0.112362046213778,0.0415549130041085,0.247192001824627
0.0144347900535137,0.00504269076141075,0.235122507011352
0.00584163275340516,0.00340440004264331,0.216112267344521
0.00720488718540207,0.00572037440574165,0.213525317705872
0.0335392433191971,0.0325736015243379,0.221622808022133
0.00696852796742659,0.00756010001158102,0.216950212455755
0.0115227458299851,0.0049540844316084,0.209548934741507
0.0127466689432624,0.00225793445076216,0.212274006085762
0.0067751896347626,0.0054720191915309,0.211264398536901
0.156856151481842,0.643581976416114,0.21547632120669
0.0613316039302867,0.00625204490864251,0.214328899880048
0.321516999121694,0.0669395329815891,0.227849842989248
0.223752048871196,0.302475819063564,0.236234464461923
0.0123274926835778,0.0118621163192534,0.214746336740352
0.00679208620294743,0.00768477622190867,0.230407791149342
0.333651112830315,0.259990175509275,0.24175007127265
0.0803684913339447,0.0142654770174779,0.223034548512459
0.0387749063552603,0.0429737532846972,0.213564369476559
0.0394987766990492,0.0037742367959585,0.24146731382314
0.0136625068316948,0.0131812972401999,0.220706585658187
0.00997336777710886,0.0101228149577553,0.21119897897289
0.031334555557833,0.0505505372433119,0.213601730345848
0.0999105688621864,0.0833679414774772,0.235854804362896
0.0647419149735026,0.0754533050559433,0.225308457573318
0.0482807639458909,0.0242138776438054,0.213031014689569
0.0198261496689541,0.0113054066038152,0.21786370257904
0.0627681709608988,0.137948285762482,0.211118232495136
0.0825076178028665,0.0802514152797331,0.212997656963981
0.0276962545904783,0.0249103303073316,0.223123738049118
0.11819292161729,0.0517420495319293,0.209285311419402
0.045278108763642,0.0891803429703388,0.218447118033897
0.0506265350931076,0.030852604995719,0.209642580961397
0.0939054714534814,0.021258631898394,0.217243125783835
0.0638177467040435,0.161392264275733,0.217338756426267
0.0271658281425387,0.0226269992761372,0.214383326299643
