"n","p","npar","value","AIC","AICc","logLik","deviance","pseudo.r.squared","bootstrap_rep"
100,16,7,6.87720999554193,52.8772099955419,67.4035257850156,-3.43860499777097,33.0030882769528,0.385024610941002,1
100,16,7,1.75297942568287,47.7529794256829,62.2792952151566,-0.876489712841433,63.4381078958267,0.220909253424854,2
100,16,7,16.7076850765314,62.7076850765314,77.234000866005,-8.35384253826568,45.0538965071153,0.248477386251828,3
100,16,7,40.7850649100815,86.7850649100815,101.311380699555,-20.3925324550407,38.7160460976941,0.346453726287564,4
100,16,7,-10.5935404531027,35.4064595468973,49.932775336371,5.29677022655133,55.427224579244,0.291371469129662,5
100,16,7,25.2095324178443,71.2095324178443,85.735848207318,-12.6047662089222,61.3621244600107,0.220259304667721,6
100,16,7,-17.2212719867944,28.7787280132056,43.3050438026792,8.61063599339722,42.1048820114148,0.426600499268162,7
100,16,7,-4.43860305475434,41.5613969452457,56.0877127347193,2.21930152737717,57.6308023356683,0.286447291642648,8
100,16,7,-11.8337607565712,34.1662392434288,48.6925550329025,5.91688037828558,38.9184177887426,0.41732175502297,9
100,16,7,10.5936224763803,56.5936224763803,71.119938265854,-5.29681123819016,48.6808916169658,0.339503747275846,10
