"stats.bias","stats.MSPE","stats.RMSPE","stats.RAV","cv_predict","se.fit","obs"
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0413617544928407,0.00061746923890858,0.0259565043399971
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0452950565351686,0.000582520088175819,0.0133874820495234
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0357203563342674,0.000594351091500299,0.0181127343903893
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0337701747676453,0.000599935511371428,0.0201147590696472
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0350199090553904,0.000600863345174418,0.0196561793851186
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0386023135316426,0.000594723447406176,0.0102254615002652
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0346344223020803,0.000589486149213367,0.00643708698200262
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0393490148833762,0.000587500380112024,0.00175683295103105
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0508633265347829,0.000584802414928583,0.0115020544313642
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0347249889244165,0.00060539021142922,0.0333697106662621
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0397762174331768,0.000585719968095967,0.0440682942963601
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0526446763869464,0.000599230934102191,0.110148143898223
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0387421085825294,0.000604139870797506,0.0598194827680882
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0602967217651058,0.000588201288708431,0.0264700718644485
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0684186000209593,0.000587674663649052,0.0256807362426581
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0529395314127185,0.000592026819694855,0.0965889802563288
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0672038301608082,0.000579304049338152,0.0914083105051301
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0721685271342872,0.000577424116253629,0.0619332917888627
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0756119283371061,0.000579064204789907,0.149705473413632
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0587550912550937,0.000579202936370543,0.104653487545837
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.0858025093184598,0.00058107558293172,0.074920775186676
0.000375501167895001,0.00187421679629699,0.0432922255872459,0.000586187730163362,0.091588707906851,0.000579103350673776,0.0909032621872309
