"stats.bias","stats.MSPE","stats.RMSPE","stats.RAV","cv_predict","se.fit"
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,1.81822401892151,0.00549128347030853
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.824334048335818,0.00528843966133135
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.800633798801367,0.00525015541982419
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.824029340884417,0.0053797713319251
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.34876938452192,0.00522313286172897
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.578230424510923,0.00519103647774161
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.473523839801112,0.00516321555980816
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.381904286053541,0.00517640848838012
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.492770783169155,0.00527167317120188
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.117620600342479,0.00550657151343577
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.121896090865688,0.00512992064554353
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.234537965261533,0.00514837849323754
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.13385543910633,0.00516662671720068
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.117106576554087,0.00520226329039649
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.11565429773212,0.00522735097661111
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.178054958068537,0.00528702930427763
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.158028421757942,0.00530114056042254
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.11825319454478,0.00554399970038251
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.0553476984404509,0.00631869270957453
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.325913319499305,0.00668446356147009
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.540452993293672,0.00578075178381158
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.608719004055779,0.00628018734354806
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.912855490308424,0.00523292289321306
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.926407463000965,0.00523658483224906
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,3.2613858664433,0.00537529770886361
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,1.0633821332237,0.00515315236995118
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.999173211375169,0.00513526888697735
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,0.958623067722265,0.005150382263919
-0.0380869923246412,0.897185205074266,0.947198609096459,0.0247377280154626,1.31316759359498,0.00515017574845711
