"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep","prefix"
"ch_central.slope.difference",0.209847807402294,0.058333290907226,3.59739360044059,0.000321421910076003,0.0955166581244333,0.324178956680155,2,"Bennett"
"ch_change.in.slope.over.width",-0.0322672840518149,0.0172726900893683,-1.86810994030838,0.061746748287804,-0.0661211345430987,0.00158656643946889,2,"Bennett"
"ch_channel.width.over.valley.width",-0.257682913483017,0.0913363400942704,-2.82125289032882,0.00478364760111649,-0.436698850547488,-0.078666976418545,2,"Bennett"
"ch_curvature.median",-0.575787741020646,0.0827393418187201,-6.95905633721601,3.42570416478338e-12,-0.737953871089886,-0.413621610951406,2,"Bennett"
"ch_slope.over.width",0.12923102778559,0.0644261290782291,2.00587913063459,0.0448691453519914,0.00295813512893239,0.255503920442248,2,"Bennett"
"ch_slope.over.width.central.diff",-0.000690678832947999,0.019807595247393,-0.0348693934988854,0.972183886214588,-0.039512852138185,0.038131494472289,2,"Bennett"
"ch_stream.power.central.diff",-0.0032655426343151,0.0180668402273448,-0.180747855918523,0.856565493782331,-0.0386758987943503,0.0321448135257201,2,"Bennett"
"hs_bare.earth.mean",0.0199469720279382,0.00894449400673744,2.23008389439504,0.0257418738303863,0.00241608591479842,0.0374778581410779,2,"Bennett"
"hs_curvature.median",-0.0461955515599407,0.0175251469373091,-2.63595801651143,0.00839001114947457,-0.0805442083808389,-0.0118468947390424,2,"Bennett"
"hs_dnbr.median",0.0156767225132627,0.0472793962097244,0.33157619957165,0.74020929377019,-0.0769891912685967,0.108342636295122,2,"Bennett"
"hs_drainage_density",-0.00405768348924947,0.00171322851440259,-2.36844265381866,0.0178631493859125,-0.0074155496747656,-0.000699817303733329,2,"Bennett"
"hs_eastness.median",-0.220869288883193,0.0565736175688819,-3.90410403955997,9.4575092717486e-05,-0.331751541793343,-0.109987035973042,2,"Bennett"
"hs_flow.accumulation.max",-0.282492044897217,0.0816532623199217,-3.45965411388461,0.000540869665556887,-0.442529498264465,-0.122454591529969,2,"Bennett"
"hs_hillslope.length",0.245143059417265,0.0648519886932509,3.78003919936501,0.00015680366995019,0.118035497252694,0.372250621581835,2,"Bennett"
"hs_ndvi.min",0.125458348693031,0.0663181940101527,1.89176364895921,0.0585224786269729,-0.00452292308660823,0.25543962047267,2,"Bennett"
"hs_ndvi.range",0.41362173093304,0.0735236610174,5.62569552725555,1.84761987931381e-08,0.269518003327404,0.557725458538675,2,"Bennett"
"hs_northness.median",-0.295958883237037,0.0683064344743137,-4.33281118411078,1.47217362673757e-05,-0.429837034719037,-0.162080731755036,2,"Bennett"
"hs_slope.median",0.588535507576946,0.0658858055214606,8.93266012184135,0,0.459401701662473,0.717669313491419,2,"Bennett"
"ws_accum_precip.mean",-0.282715083262178,0.0515038237562554,-5.48920570635962,4.03745201715822e-08,-0.383660722890537,-0.181769443633819,2,"Bennett"
"ws_bare.earth.mean",-0.0290055266181525,0.0114824245208023,-2.52608032089426,0.0115343107112853,-0.0515106651341246,-0.00650038810218034,2,"Bennett"
"ws_eastness.mean",0.309046928057094,0.0395704964239514,7.81003414124552,5.77315972805081e-15,0.231490180215779,0.38660367589841,2,"Bennett"
"ws_Kw",0.0235976063626877,0.0514820676025648,0.45836555254265,0.646689835759137,-0.0773053919879956,0.124500604713371,2,"Bennett"
"ws_mi60.max",-0.296808141187934,0.035620578863004,-8.3324906742659,0,-0.36662319286789,-0.226993089507977,2,"Bennett"
"ws_ndvi.range",-1.12460803223173,0.0724959400443568,-15.5127036292465,0,-1.26669746374404,-0.982518600719415,2,"Bennett"
"(Intercept)",1.59430530329968,0.064922445662728,24.5570740138487,0,1.46705964801248,1.72155095858689,3,"Bennett"
"ch_central.slope.difference",0.258618814156532,0.0855822028153214,3.0218761103241,0.00251213341024314,0.0908807789208996,0.426356849392164,3,"Bennett"
"ch_change.in.slope.over.width",-0.0799753514854767,0.0695947784561429,-1.14915735432473,0.250491102059182,-0.216378610771561,0.0564279078006074,3,"Bennett"
"ch_channel.width.over.valley.width",-0.394621506717816,0.10348299462585,-3.81339473354629,0.000137070922797911,-0.597444449196835,-0.191798564238798,3,"Bennett"
"ch_curvature.median",-0.399881827668489,0.0794860870547667,-5.0308405217251,4.88334227055631e-07,-0.555671695567848,-0.244091959769131,3,"Bennett"
"ch_slope.over.width",0.183430261514526,0.067866312549727,2.70281756328108,0.00687544719780053,0.0504147331535221,0.316445789875529,3,"Bennett"
"ch_slope.over.width.central.diff",0.000620468446192909,0.00102113433202616,0.60762666255845,0.543435113083518,-0.00138091806795573,0.00262185496034155,3,"Bennett"
