rid,binaryID
2,1000010
3,100001
4,10000
5,1000
6,100
7,10
11,10000110
12,1000011
13,10000111
15,110001
16,11000
17,1100
18,110
19,11
20,11011001111
21,1101100111
22,110110011
23,11011001
24,1101100
25,110110
26,11011
27,1101
28,1110
29,111
30,1111
31,11001
32,10001
33,1001
34,110110011111010
35,11011001111101
36,1101100111110
37,110110011111
38,110110011111011
39,1101100111111
40,101
41,1101111
42,110111
43,1101101
8,1
