"stats.bias","stats.MSPE","stats.RMSPE","stats.RAV","cv_predict","se.fit","obs"
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.0824586713544672,0.000447054045653989,0.097584283252081
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.0946813086973003,0.000424032826822255,0.073084441106527
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.089481672940513,0.000481943560097682,0.0740421950506054
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.115308045881147,0.000414024230450622,0.0553134535906969
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.101471116490856,0.000402962788266879,0.13883081381463
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.113224025995709,0.000395228680184902,0.0954944245679067
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.114007895301636,0.000403417444139033,0.112334220054973
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.115340869603523,0.000397778700835758,0.101743220821388
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.108833362408988,0.000414780760457968,0.196193771848842
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.0878359403432771,0.000425429582649014,0.0736403281495481
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.0981680947961583,0.000417847270692833,0.133214896800576
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.0985029701951878,0.000424196232143212,0.091312564393363
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.0825486917586586,0.000407100581556842,0.0854048644725233
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.087461532094395,0.000416233597657619,0.0977818687788772
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.111405743122652,0.000421936143214414,0.101001914757866
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.08551887985357,0.000417181824944245,0.0698099447606386
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.109768551403674,0.000422262538015511,0.0919152317195919
-3.58226813626535e-05,0.000649666201250291,0.0254885503952322,0.000430994264194631,0.0746790070570483,0.000447781501894544,0.0638629865801096
