rid,binaryID
1,10001100000000000101101010001000
2,1000110000000000010110101000100
3,100011000000000001011010100010
4,10001100000000000101101010001
5,1000110000000000010110101000
6,100011000000000001011010100
7,10001100000000000101101010
8,1000110000000000010110101
9,100011000000000001011010
10,10001100000000000101101
11,1000110000000000010110
12,100011000000000001011
13,10001100000000000101
14,1000110000000000010
15,100011000000000001
16,10001100000000000
17,1000110000000000
18,100011000000000
19,10001100000000
20,1000110000000
21,100011000000
22,10001100000
23,1000110000
24,100011000
25,10001100
26,1000110
27,100011
28,10001
29,1000
30,100
31,10
33,100011000000011
34,10001100000001
35,101
36,110000
37,11000
38,1100
39,110
40,11
41,1001
42,11000100
43,1100010
44,110001
45,11000101
46,11001
47,10011
48,11000110
49,1100011
50,1100011100
51,110001110
52,11000111
53,1100011101
54,1100011110
55,110001111
56,11011
57,1101
58,11000111110
59,1100011111
60,1110
61,111
62,1100011111100
63,110001111110
64,11000111111
65,100011010
66,10001101
67,110001111111
68,110001111110100
69,11000111111010
70,1100011111101
71,110001111110101
72,100011011
73,11000111111011000
74,1100011111101100
75,110001111110110
76,11000111111011
77,100011001
78,11110
79,1111
80,1000111
81,111110
82,11111
83,1100011111101101
84,110001111110111
85,1000110001000000000
86,100011000100000000
87,10001100010000000
88,1000110001000000
89,100011000100000
90,10001100010000
91,1000110001000
92,100011000100
93,10001100010
94,1000110001
95,1111110
96,111111
97,100011000100000001
98,1100011111101100100000
99,110001111110110010000
100,11000111111011001000
101,1100011111101100100
102,110001111110110010
103,11000111111011001
104,1100011111101100101
105,1000110001000000001
106,110001111110110010000101000
107,11000111111011001000010100
108,1100011111101100100001010
109,110001111110110010000101
110,11000111111011001000010
111,1100011111101100100001
112,110001111110110010000101001
113,1111111
114,11000111111011001000011
115,10001100010000001
116,110001111110110011
117,100011000000001
118,100011000100001000
119,10001100010000100
120,1000110001000010
121,100011000100001
122,1000110001000001
123,100011000100001001
124,11000111111011001000010101
125,11000111111011001001
126,100011000101
127,11000111111011001000010110
128,1100011111101100100001011
129,100011000100001010
130,10001100010000101
131,110001111110110010000101110
132,11000111111011001000010111
133,1100011111101100100011
134,110001111110110010001
135,1100011111101100100001011110
136,110001111110110010000101111
137,10001100001
138,1100011111101100100001011111
139,1000110001001
140,10001100010001
141,100011000100001011000
142,10001100010000101100
143,1000110001000010110
144,100011000100001011
145,1000110001000010110010
146,100011000100001011001
147,10001100010000101100110
148,1000110001000010110011
149,10001100011
150,10001100000000001
151,10001100010000101101
152,1000110001000011
153,100011000100001011001110
154,10001100010000101100111
155,10001100000010
156,1000110000001
157,1000110001000010111
158,1000110001000010110011110
159,100011000100001011001111
160,10001100010000101100111110
161,1000110001000010110011111
162,100011000100001011001111111
163,10001100010000101100111111
164,10001100000000010
165,1000110000000001
166,10001100000000000101101010001001000000000000000001000000000000000
167,1000110000000000010110101000100100000000000000000100000000000000
168,100011000000000001011010100010010000000000000000010000000000000
169,10001100000000000101101010001001000000000000000001000000000000
170,1000110000000000010110101000100100000000000000000100000000000
171,100011000000000001011010100010010000000000000000010000000000
172,10001100000000000101101010001001000000000000000001000000000
173,1000110000000000010110101000100100000000000000000100000000
174,100011000000000001011010100010010000000000000000010000000
175,10001100000000000101101010001001000000000000000001000000
176,1000110000000000010110101000100100000000000000000100000
177,100011000000000001011010100010010000000000000000010000
178,10001100000000000101101010001001000000000000000001000
179,1000110000000000010110101000100100000000000000000100
180,100011000000000001011010100010010000000000000000010
181,10001100000000000101101010001001000000000000000001
182,1000110000000000010110101000100100000000000000000
183,100011000000000001011010100010010000000000000000
184,10001100000000000101101010001001000000000000000
185,1000110000000000010110101000100100000000000000
186,100011000000000001011010100010010000000000000
187,10001100000000000101101010001001000000000000
188,1000110000000000010110101000100100000000000
189,100011000000000001011010100010010000000000
190,10001100000000000101101010001001000000000
191,1000110000000000010110101000100100000000
192,100011000000000001011010100010010000000
193,10001100000000000101101010001001000000
194,1000110000000000010110101000100100000
195,100011000000000001011010100010010000
196,10001100000000000101101010001001000
197,1000110000000000010110101000100100
198,100011000000000001011010100010010
199,10001100000000000101101010001001
200,10001100000000011
201,10001100000011
202,100011000001000
203,10001100000100
204,1000110000010
205,100011000001
206,1000110000000000010111
207,10001100000000000110
208,1000110000000000011
209,10001100000000000101101011
210,1000110000010011
211,100011000001001
212,10001100000110
213,1000110000011
214,100011000000000001110
215,10001100000000000111
216,10001100000101
217,1000110000000000010110101001
218,100011000001111
219,10001100000111
220,100011000000000001011011
221,1000110000000000010110101010
222,100011000000000001011010101
223,1000110000000000010110101011
224,10001100000000000111100
225,1000110000000000011110
226,100011000000000001111
227,100011000000000001011010101110
228,10001100000000000101101010111
229,10001100000000000111101
230,100011000000000001011010100010001
231,100011000000000001111001
232,1000110000000000011111
233,100011000000000001011010100011
234,1000110000000000010110101011110
235,100011000000000001011010101111
236,10001100000000000101101010001001010
237,1000110000000000010110101000100101
238,10001100000000000101101010111110
239,1000110000000000010110101011111
240,10001100000000000101101010001001011
241,1000110000000000010110101000101
242,100011000000000001011010100010011
243,100011000000000001011010101111110
244,10001100000000000101101010111111
245,10001100000000000101101010001001001
246,1000110000000000010110101011111110
247,100011000000000001011010101111111
248,10001100000000000101101010001001000100
249,1000110000000000010110101000100100010
250,100011000000000001011010100010010001
251,10001100000000000101101010111111110
252,1000110000000000010110101011111111
253,1000110000000000010110101011111111100
254,100011000000000001011010101111111110
255,10001100000000000101101010111111111
256,100011000000000001011010100010010000001
257,10001100000000000101101010001001000101
258,1000110000000000010110101000100100011
259,1000110000000000010110101011111111101
260,1000110000000000010110101011111111110
261,100011000000000001011010101111111111
262,10001100000000000101101010001001000010
263,1000110000000000010110101000100100001
264,1000110000000000010110101011111111111
265,10001100000000000101101010001001000001
266,10001100000000000101101010001001000000000000000001000000010
267,1000110000000000010110101000100100000000000000000100000001
268,1000110000000000010110101000100100000011
269,10001100000000000101101010001001000011
270,1000110000000000010110101000100100000001
271,1000110000000000010110101000100100000000100
272,100011000000000001011010100010010000000010
273,10001100000000000101101010001001000000001
274,1000110000000000010110101000100100000000101
275,100011000000000001011010100010010000000000010
276,10001100000000000101101010001001000000000001
277,1000110000000000010110101000100100000000110
278,100011000000000001011010100010010000000011
279,1000110000000000010110101000100100000000001
280,10001100000000000101101010001001000000001110
281,1000110000000000010110101000100100000000111
282,100011000000000001011010100010010000000001
283,100011000000000001011010100010010000000011110
284,10001100000000000101101010001001000000001111
285,100011000000000001011010100010010000000011111
286,100011000000000001011010100010010000000000001
287,100011000000000001011010100010010000000000011
288,1000110000000000010110101000100100000000000001
289,10001100000000000101101010001001000000000000001
290,1000110000000000010110101000100100000000000000010
291,100011000000000001011010100010010000000000000001
292,100011000000000001011010100010010000000000000000010010
293,10001100000000000101101010001001000000000000000001001
294,100011000000000001011010100010010000000000000000011
295,1000110000000000010110101000100100000000000000011
296,100011000000000001011010100010010000000000000000010011
297,1000110000000000010110101000100100000000000000001
298,100011000000000001011010100010010000000000000000010001
299,10001100000000000101101010001001000000000000000001000010
300,1000110000000000010110101000100100000000000000000100001
301,10001100000000000101101010001001000000000000000001010
302,1000110000000000010110101000100100000000000000000101
303,10001100000000000101101010001001000000000000000001000011
304,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000001
305,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000000
306,100011000000000001011010100010010000000000000000010000000000010000000000000000000000000
307,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000
308,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000
309,100011000000000001011010100010010000000000000000010000000000010000000000000000000000
310,10001100000000000101101010001001000000000000000001000000000001000000000000000000000
311,1000110000000000010110101000100100000000000000000100000000000100000000000000000000
312,100011000000000001011010100010010000000000000000010000000000010000000000000000000
313,10001100000000000101101010001001000000000000000001000000000001000000000000000000
314,1000110000000000010110101000100100000000000000000100000000000100000000000000000
315,100011000000000001011010100010010000000000000000010000000000010000000000000000
316,10001100000000000101101010001001000000000000000001000000000001000000000000000
317,1000110000000000010110101000100100000000000000000100000000000100000000000000
318,100011000000000001011010100010010000000000000000010000000000010000000000000
319,10001100000000000101101010001001000000000000000001000000000001000000000000
320,1000110000000000010110101000100100000000000000000100000000000100000000000
321,100011000000000001011010100010010000000000000000010000000000010000000000
322,10001100000000000101101010001001000000000000000001000000000001000000000
323,1000110000000000010110101000100100000000000000000100000000000100000000
324,100011000000000001011010100010010000000000000000010000000000010000000
325,10001100000000000101101010001001000000000000000001000000000001000000
326,1000110000000000010110101000100100000000000000000100000000000100000
327,100011000000000001011010100010010000000000000000010000000000010000
328,10001100000000000101101010001001000000000000000001000000000001000
329,1000110000000000010110101000100100000000000000000100000000000100
330,100011000000000001011010100010010000000000000000010000000000010
331,10001100000000000101101010001001000000000000000001000000000001
332,10001100000000000101101010001001000000000000000001011
333,100011000000000001011010100010010000000000000000010000001000
334,10001100000000000101101010001001000000000000000001000000100
335,1000110000000000010110101000100100000000000000000100000010
336,100011000000000001011010100010010000000000000000010000001
337,100011000000000001011010100010010000000000000000010000000101
338,1000110000000000010110101000100100000000000000000100000010001
339,10001100000000000101101010001001000000000000000001000000101
340,10001100000000000101101010001001000000000000000001000001
341,10001100000000000101101010001001000000000000000001000000110
342,1000110000000000010110101000100100000000000000000100000011
343,100011000000000001011010100010010000000000000000010000001001
344,10001100000000000101101010001001000000000000000001000000011
345,100011000000000001011010100010010000000000000000010000000000000001
346,100011000000000001011010100010010000000000000000010000001110
347,10001100000000000101101010001001000000000000000001000000111
348,1000110000000000010110101000100100000000000000000100000000000001
349,10001100000000000101101010001001000000000000000001000000000001000010011
350,1000110000000000010110101000100100000000000000000100000000000100001001
351,100011000000000001011010100010010000000000000000010000000000010000100
352,10001100000000000101101010001001000000000000000001000000000001000010
353,1000110000000000010110101000100100000000000000000100000000000100001
354,10001100000000000101101010001001000000000000000001000000111100
355,1000110000000000010110101000100100000000000000000100000011110
356,100011000000000001011010100010010000000000000000010000001111
357,100011000000000001011010100010010000000000000000010000000001
358,100011000000000001011010100010010000000000000000010000000000001
359,100011000000000001011010100010010000000000000000010000001111010
360,10001100000000000101101010001001000000000000000001000000111101
361,1000110000000000010110101000100100000000000000000100000011111
362,100011000000000001011010100010010000000000000000010000000010
363,10001100000000000101101010001001000000000000000001000000001
364,1000110000000000010110101000100100000000000000000100000011110110
365,100011000000000001011010100010010000000000000000010000001111011
366,10001100000000000101101010001001000000000000000001000000000000001
367,1000110000000000010110101000100100000000000000000100000000110
368,100011000000000001011010100010010000000000000000010000000011
369,100011000000000001011010100010010000000000000000010000000000010000110
370,10001100000000000101101010001001000000000000000001000000000001000011
371,1000110000000000010110101000100100000000000000000100000011110111
372,1000110000000000010110101000100100000000000000000100000000111
373,1000110000000000010110101000100100000000000000000100000000001
374,100011000000000001011010100010010000000000000000010000001111011111
375,10001100000000000101101010001001000000000000000001000000111101111
376,1000110000000000010110101000100100000000000000000100000000000101
377,100011000000000001011010100010010000000000000000010000000000010000111
378,100011000000000001011010100010010000000000000000010000000000010001
379,1000110000000000010110101000100100000000000000000100000000000100100
380,100011000000000001011010100010010000000000000000010000000000010010
381,10001100000000000101101010001001000000000000000001000000000001001
382,1000110000000000010110101000100100000000000000000100000000000100000001000
383,100011000000000001011010100010010000000000000000010000000000010000000100
384,10001100000000000101101010001001000000000000000001000000000001000000010
385,1000110000000000010110101000100100000000000000000100000000000100000001
386,100011000000000001011010100010010000000000000000010000000000011000
387,10001100000000000101101010001001000000000000000001000000000001100
388,1000110000000000010110101000100100000000000000000100000000000110
389,100011000000000001011010100010010000000000000000010000000000011
390,1000110000000000010110101000100100000000000000000100000000000111
391,1000110000000000010110101000100100000000000000000100000000000100001011
392,100011000000000001011010100010010000000000000000010000000000010000101
393,1000110000000000010110101000100100000000000000000100000000000110010
394,100011000000000001011010100010010000000000000000010000000000011001
395,1000110000000000010110101000100100000000000000000100000000000110011
396,1000110000000000010110101000100100000000000000000100000000000100000001011
397,100011000000000001011010100010010000000000000000010000000000010000000101
398,1000110000000000010110101000100100000000000000000100000000000100110
399,100011000000000001011010100010010000000000000000010000000000010011
400,1000110000000000010110101000100100000000000000000100000000000100111
401,1000110000000000010110101000100100000000000000000100000000000100101
402,10001100000000000101101010001001000000000000000001000000000001000000011
403,100011000000000001011010100010010000000000000000010000000000010000010
404,10001100000000000101101010001001000000000000000001000000000001000001
405,1000110000000000010110101000100100000000000000000100000000000100000000000000101
406,100011000000000001011010100010010000000000000000010000000000010000000000000010
407,10001100000000000101101010001001000000000000000001000000000001000000000000001
408,100011000000000001011010100010010000000000000000010000000000011001110
409,10001100000000000101101010001001000000000000000001000000000001100111
410,100011000000000001011010100010010000000000000000010000000000011001111
411,10001100000000000101101010001001000000000000000001000000000001101
412,100011000000000001011010100010010000000000000000010000000000010000011
413,100011000000000001011010100010010000000000000000010000000000010000001
414,100011000000000001011010100010010000000000000000010000000000010000000001001011
415,10001100000000000101101010001001000000000000000001000000000001000000000100101
416,1000110000000000010110101000100100000000000000000100000000000100000000010010
417,100011000000000001011010100010010000000000000000010000000000010000000001001
418,10001100000000000101101010001001000000000000000001000000000001000000000100
419,1000110000000000010110101000100100000000000000000100000000000100000000010
420,100011000000000001011010100010010000000000000000010000000000010000000001
421,10001100000000000101101010001001000000000000000001000000000001000000010001
422,10001100000000000101101010001001000000000000000001000000000001000000000110
423,1000110000000000010110101000100100000000000000000100000000000100000000011
424,10001100000000000101101010001001000000000000000001000000000001000000000111
425,1000110000000000010110101000100100000000000000000100000000000100000001001
426,100011000000000001011010100010010000000000000000010000000000010000000010
427,10001100000000000101101010001001000000000000000001000000000001000000001
428,100011000000000001011010100010010000000000000000010000000000010000000011
429,1000110000000000010110101000100100000000000000000100000000000100000000010010111
430,1000110000000000010110101000100100000000000000000100000000000100000000001
431,1000110000000000010110101000100100000000000000000100000000000100000000000000000010
432,100011000000000001011010100010010000000000000000010000000000010000000000000000001
433,100011000000000001011010100010010000000000000000010000000000010000000000000011
434,10001100000000000101101010001001000000000000000001000000000001000000000001
435,1000110000000000010110101000100100000000000000000100000000000100000000010011
436,10001100000000000101101010001001000000000000000001000000000001000000000101
437,10001100000000000101101010001001000000000000000001000000000001000000000000000000101
438,10001100000000000101101010001001000000000000000001000000000001000000000000000000110
439,1000110000000000010110101000100100000000000000000100000000000100000000000000000011
440,1000110000000000010110101000100100000000000000000100000000000100000000000001
441,10001100000000000101101010001001000000000000000001000000000001000000000000000000111
442,1000110000000000010110101000100100000000000000000100000000000100000000000000010
443,100011000000000001011010100010010000000000000000010000000000010000000000000001
444,1000110000000000010110101000100100000000000000000100000000000100000000000000001
445,1000110000000000010110101000100100000000000000000100000000000100000000000011
446,100011000000000001011010100010010000000000000000010000000000010000000000001
447,100011000000000001011010100010010000000000000000010000000000010000000000000000000100
448,10001100000000000101101010001001000000000000000001000000000001000000000000000000010
449,1000110000000000010110101000100100000000000000000100000000000100000000000000000001
450,100011000000000001011010100010010000000000000000010000000000010000000000000000000101
451,10001100000000000101101010001001000000000000000001000000000001000000000000000000011
452,10001100000000000101101010001001000000000000000001000000000001000000000000000000001
453,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001001010000001010
454,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100100101000000101
455,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010010100000010
456,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001001010000001
457,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100100101000000
458,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010010100000
459,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001001010000
460,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100100101000
461,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010010100
462,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001001010
463,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100100101
464,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010010
465,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001001
466,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100100
467,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010
468,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001
469,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100
470,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010
471,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001
472,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000
473,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000
474,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000
475,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000
476,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000
477,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000
478,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100
479,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010
