"rid","fromnode","tonode"
1,1,2
2,3,4
3,4,5
4,5,6
5,6,7
6,7,8
7,8,9
8,9,10
9,11,12
10,12,13
11,14,15
12,15,4
13,16,15
14,17,18
15,19,20
16,20,21
17,21,22
18,22,23
19,23,9
20,24,25
21,25,26
22,26,27
23,27,28
24,28,29
25,29,30
26,30,31
27,31,22
28,32,33
29,33,23
30,34,33
31,35,21
32,36,6
33,37,7
34,38,39
35,39,40
36,40,41
37,41,24
38,42,39
39,43,41
40,44,8
41,45,46
42,46,30
43,47,29
44,48,12
45,49,11
