"term","estimate","std.error","statistic","p.value","conf.low","conf.high","bootstrap_rep","prefix"
"ch_change.in.slope.over.width",0.0837434739722112,0.10600572794564,0.78999008445237,0.429533559104723,-0.124023934956195,0.291510882900617,2,"MM"
"ch_channel.width.over.valley.width",0.0418734567684443,0.262310623436169,0.159633095373409,0.873170106942617,-0.472245917928695,0.555992831465583,2,"MM"
"ch_curvature.median",0.00815811458209889,0.153280851603081,0.0532233119582624,0.957553981679906,-0.292266834079568,0.308583063243765,2,"MM"
"ch_slope.over.width.central.diff",0.00400418460202939,0.0919688125797638,0.0435385049530415,0.965272271099321,-0.176251375755222,0.184259744959281,2,"MM"
"ch_stream.power",0.414866270582101,0.127222089262703,3.26096099338094,0.00111035313695518,0.165515557589264,0.664216983574937,2,"MM"
"hs_area",0.390262641585705,0.143502369279566,2.71955538814422,0.00653697460525682,0.109003166101589,0.671522117069821,2,"MM"
"hs_bare.earth.mean",-0.00430252686765768,0.0175003580823754,-0.245853647531404,0.805795526537448,-0.0386025984256679,0.0299975446903525,2,"MM"
"hs_curvature.median",0.141848645074611,0.0774070896378969,1.83250198060882,0.0668766669397485,-0.0098664627637309,0.293563752912952,2,"MM"
"hs_dnbr.median",-0.168810664666926,0.11520728558204,-1.46527768460193,0.142845172281315,-0.394612795164345,0.0569914658304938,2,"MM"
"hs_drainage_density",-0.0193123412958508,0.0526882925741315,-0.366539516699629,0.713962531088875,-0.122579497148058,0.0839548145563561,2,"MM"
"hs_flow.accumulation.max",-0.126279022193077,0.22283697160729,-0.566687930114312,0.57092622263839,-0.563031460967339,0.310473416581186,2,"MM"
"hs_ndvi.min",0.268562647816988,0.114264367236052,2.35036218475861,0.0187551515320519,0.0446086033180673,0.49251669231591,2,"MM"
"hs_ndvi.range",0.825344759360963,0.209759250074531,3.93472401845308,8.32923492746218e-05,0.414224183790751,1.23646533493117,2,"MM"
"hs_northness.median",0.360959137223076,0.130469703211009,2.76661269505072,0.00566420038305804,0.105243217855869,0.616675056590282,2,"MM"
"(Intercept)",3.94536469922979,0.155575052593815,25.3598802214812,0,3.64044319925299,4.2502861992066,3,"MM"
"ch_change.in.slope.over.width",0.0534852500508387,0.145795868785522,0.366850244086958,0.713730727123899,-0.232269401863511,0.339239901965188,3,"MM"
"ch_channel.width.over.valley.width",-0.207842921837499,0.298219998040196,-0.696944950718846,0.485837245295354,-0.792343377465888,0.376657533790891,3,"MM"
"ch_curvature.median",0.0746896427874459,0.182887588841331,0.408390986291831,0.682986649890068,-0.283763444560932,0.433142730135824,3,"MM"
"ch_slope.over.width.central.diff",-0.00568611786992805,0.152894339983893,-0.0371898519626499,0.970333629977042,-0.305353517678381,0.293981281938525,3,"MM"
