"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-1.9606689169305,0.06028929623142,-32.5210118460247,0,-2.07883376619735,-1.84250406766365
"ch_central.slope.difference",-0.119598791471503,0.0389820471726362,-3.0680479899336,0.00215462013497492,-0.196002199973512,-0.043195382969495
"ch_curvature.median",0.05116115863829,0.071533141054102,0.715209172760857,0.474479801891874,-0.0890412215287734,0.191363538805353
"ch_flow.accumulation.max",0.129958968522097,0.0802353583021289,1.61972191901645,0.105292025538853,-0.0272994440367426,0.287217381080936
"ch_slope.median",0.220305426638149,0.0618876057304751,3.55976651605484,0.000371184661962287,0.0990079483170034,0.341602904959295
"ch_stream.power.central.diff",-0.00218922082626672,0.012341206067924,-0.177391157251373,0.859201152662845,-0.026377540245185,0.0219990985926516
"ch_valley_width",0.179281062450666,0.0942443598049872,1.9023001781925,0.0571319224117497,-0.00543448851314351,0.363996613414475
"hs_curvature.median",-0.00093240428172515,0.0154819354937056,-0.060225304652912,0.951976192091889,-0.0312764402603604,0.0294116316969101
"hs_drainage_density",-0.00116253473401282,0.012045647104584,-0.0965107747154916,0.923114916888171,-0.0247715692294767,0.022446499761451
"hs_eastness.median",-0.104483816735343,0.0559186309759602,-1.86849740259667,0.0616927718355504,-0.214082319513011,0.00511468604232444
"hs_extended.dnbr.median",0.0649976564742189,0.0373307410999635,1.74112955058057,0.0816608725777437,-0.00816925159789866,0.138164564546336
"hs_flow.accumulation.max",-0.116635234203114,0.0635148389927365,-1.83634621535375,0.0663064687200905,-0.241122031112738,0.00785156270650959
"hs_hillslope.length",-0.0135152361731355,0.0489642647335743,-0.276022447118832,0.782530825413301,-0.109483431580426,0.0824529592341548
"hs_ndvi.min",-0.0816378607090403,0.0675597210808107,-1.20838066532853,0.226900873371174,-0.214052480833001,0.0507767594149201
"hs_northness.median",-0.172503484835212,0.0857094720440773,-2.01265368600684,0.0441510748752296,-0.340490963175547,-0.00451600649487824
"hs_slope.median",0.0215303661738988,0.0899805422059089,0.239278022182055,0.810890006245575,-0.154828255859069,0.197888988206867
