"fromedge","toedge"
2,3
3,4
4,5
5,6
6,7
7,8
9,10
11,12
12,3
13,12
15,16
16,17
17,18
18,19
19,8
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,18
28,29
29,19
30,29
31,17
32,5
33,6
34,35
35,36
36,37
37,20
38,35
39,37
40,7
41,42
42,26
43,25
44,10
45,9
