"n","p","npar","value","AIC","AICc","logLik","deviance","pseudo.r.squared","bootstrap_rep"
349,16,7,-550.344828986534,-504.344828986534,-500.947905909611,275.172414493267,311.788907108916,0.408203260808858,2
349,16,7,-569.327749572798,-523.327749572798,-519.930826495875,284.663874786399,296.204791220049,0.427145881405586,5
349,16,7,-612.098916635298,-566.098916635298,-562.701993558375,306.049458317649,294.411824448534,0.328944666940296,9
349,16,7,-638.506036262817,-592.506036262817,-589.109113185894,319.253018131408,354.563181347992,0.398090748384684,13
349,16,7,-620.793111471903,-574.793111471903,-571.39618839498,310.396555735951,314.464073614898,0.37178475320263,15
349,16,7,-551.534262574118,-505.534262574118,-502.137339497195,275.767131287059,310.6292705487,0.32973437623422,17
349,16,7,-452.975989640569,-406.975989640569,-403.579066563646,226.487994820285,377.461156849365,0.405115216326926,18
349,16,7,-756.581902515846,-710.581902515846,-707.184979438922,378.290951257923,280.279075347715,0.343719277081977,19
349,16,7,-690.013861523287,-644.013861523287,-640.616938446364,345.006930761643,287.207141108596,0.364955265850804,22
349,16,7,-1655.23650869267,-1609.23650869267,-1605.83958561575,827.618254346336,1.98967475439446e-10,0.189123075637166,23
349,16,7,-632.093407983825,-586.093407983825,-582.696484906902,316.046703991912,337.76094672897,0.265428813991029,24
349,16,7,-666.596510561997,-620.596510561997,-617.199587485074,333.298255280998,309.463841851722,0.311480695808681,25
349,16,7,-583.938933643481,-537.938933643481,-534.542010566558,291.969466821741,333.215828323525,0.387927797794912,27
349,16,7,-601.438125212005,-555.438125212005,-552.041202135082,300.719062606002,292.553889073406,0.433296720475124,28
349,16,7,-1619.10795140707,-1573.10795140707,-1569.71102833015,809.553975703537,3.7080323080257e-14,0.172748188665645,29
349,16,7,-678.643877103191,-632.643877103191,-629.246954026268,339.321938551595,285.950405973255,0.429484964003302,31
349,16,7,-641.135390274802,-595.135390274802,-591.738467197879,320.567695137401,276.204709772129,0.405834209678347,32
349,16,7,-652.10582453294,-606.10582453294,-602.708901456017,326.05291226647,323.454181609391,0.339483585289964,35
349,16,7,-589.767144632384,-543.767144632384,-540.370221555461,294.883572316192,305.866573478852,0.430931198612813,39
349,16,7,-560.951462043811,-514.951462043811,-511.554538966888,280.475731021906,335.002809989671,0.46269166457651,40
349,16,7,-516.799407498494,-470.799407498494,-467.402484421571,258.399703749247,334.21531378152,0.444117340278981,43
349,16,7,-659.427919207319,-613.427919207319,-610.030996130396,329.713959603659,315.078027096226,0.352049588649394,44
349,16,7,-589.760388583503,-543.760388583503,-540.36346550658,294.880194291752,315.699140540667,0.407821550619847,46
349,16,7,-665.235049763699,-619.235049763699,-615.838126686776,332.61752488185,314.301576172003,0.252310617327236,48
