"pointid","xcoord","ycoord"
116,412477.616645715,4450627.31399706
117,413202.616592374,4450632.31399669
118,411286.616733342,4450634.31399654
119,412547.616640565,4450648.31399551
120,412534.616641522,4450690.31399242
121,412480.616645495,4450819.31398293
122,412461.616646892,4450815.31398322
123,412430.616649173,4450657.31399485
124,412656.616632545,4450658.31399477
125,413739.616552864,4450660.31399463
126,413326.616583251,4450678.3139933
127,411925.616686328,4450735.31398911
128,413637.616560369,4450743.31398852
129,413605.616562723,4450759.31398734
130,412739.616626439,4450752.31398786
131,412589.616637475,4450880.31397844
132,413640.616560148,4450755.31398764
133,413616.616561914,4450764.31398698
134,413330.616582956,4450809.31398366
135,413340.616582221,4450807.31398381
136,413757.61655154,4450826.31398241
137,413663.616558456,4450791.31398499
138,411599.616710314,4450826.31398241
139,413697.616555955,4450831.31398205
140,412276.616660504,4450860.31397991
141,412374.616653293,4450880.31397844
142,412755.616625262,4450890.31397771
143,412702.616629161,4450955.31397292
144,412604.616636371,4450902.31397682
145,412589.616637475,4450887.31397793
146,412855.616617904,4450893.31397748
147,412715.616628205,4450976.31397138
148,412884.616615771,4450902.31397682
149,412736.61662666,4450987.31397057
150,412017.616679559,4450915.31397587
151,411352.616728486,4450929.31397484
152,412629.616634532,4450932.31397462
153,412462.616646819,4450982.31397094
154,412808.616621362,4450986.31397064
155,412757.616625114,4451009.31396895
156,411682.616704207,4450988.3139705
157,411691.616703545,4450987.31397057
158,412541.616641006,4451026.3139677
159,412788.616622834,4451050.31396593
160,412759.616624967,4451011.3139688
161,412744.616626071,4451083.31396351
162,412780.616623422,4451061.31396512
163,412791.616622613,4451093.31396277
164,412782.616623275,4451065.31396483
165,411394.616725396,4451095.31396262
166,411359.616727971,4451063.31396498
167,409557.616860552,4453720.31376949
168,409570.616859596,4453727.31376897
169,409577.616859081,4453732.31376861
170,409644.616854151,4453755.31376691
171,409863.616838039,4453797.31376382
172,409963.616830681,4453714.31376993
173,409924.616833551,4453554.3137817
174,410017.616826708,4453497.3137859
175,409998.616828106,4453323.3137987
176,410039.616825089,4453248.31380422
177,410030.616825752,4453163.31381047
178,410032.616825605,4453115.313814
179,410057.616823765,4453029.31382033
180,410059.616823618,4453023.31382077
181,410085.616821705,4452970.31382467
182,410078.61682222,4452948.31382629
183,410110.616819866,4452879.31383137
184,410217.616811993,4452918.3138285
185,410273.616807873,4452853.31383328
186,410274.6168078,4452847.31383372
