"fromedge","toedge"
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
14,4
15,2
16,17
17,7
18,3
19,20
20,21
21,5
22,17
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,21
31,24
32,33
33,6
34,33
35,28
36,37
37,38
38,26
39,38
40,30
41,39
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
63,64
64,41
65,8
66,27
67,68
68,49
69,9
70,43
71,72
72,47
73,74
74,36
75,10
76,77
77,78
78,68
79,77
80,81
81,78
82,80
83,12
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
95,96
96,88
97,96
98,99
99,81
100,11
101,102
102,103
103,50
104,85
105,106
106,13
107,104
108,106
109,87
110,91
111,112
112,113
113,114
114,115
115,52
116,117
117,118
118,119
119,54
120,121
121,122
122,123
123,124
124,125
125,126
126,127
127,128
129,86
130,114
131,119
132,115
133,113
134,112
135,136
136,137
137,138
138,139
139,140
140,126
141,142
142,89
143,142
144,145
145,146
146,147
147,122
148,90
149,121
150,151
151,56
152,153
153,154
154,123
155,156
156,144
157,151
158,145
159,160
160,161
161,162
162,124
163,92
164,160
165,166
166,93
167,135
168,153
169,170
170,171
171,172
172,173
173,174
174,175
175,176
176,177
177,178
178,179
179,180
181,161
182,154
183,152
184,166
185,186
186,187
187,188
188,189
189,190
190,191
191,192
192,193
193,194
194,195
195,196
196,197
198,171
199,55
200,201
201,186
202,203
203,58
204,203
205,61
206,201
207,94
208,173
209,210
210,175
211,174
212,187
213,210
214,137
215,57
216,60
217,172
218,62
219,59
220,140
221,188
222,176
223,125
224,225
225,226
226,191
227,189
228,177
229,225
230,127
231,232
232,190
233,234
234,235
235,196
236,232
237,226
238,180
239,192
240,234
241,235
242,179
243,244
244,197
245,244
246,195
