"stats.bias","stats.std.bias","stats.MSPE","stats.RMSPE","stats.std.MSPE","stats.RAV","stats.cor2","stats.cover.80","stats.cover.90","stats.cover.95","cv_predict","se.fit"
2.29647100858502e-05,-1.53203076774493e-05,0.0418978185763392,0.204689566359253,1.02848116589896,0.204732395589692,0.242560440798136,0.932377049180328,0.948770491803279,0.959016393442623,0.0506120091237016,0.20302231735534
2.29647100858502e-05,-1.53203076774493e-05,0.0418978185763392,0.204689566359253,1.02848116589896,0.204732395589692,0.242560440798136,0.932377049180328,0.948770491803279,0.959016393442623,0.054500559330578,0.20415744347874
2.29647100858502e-05,-1.53203076774493e-05,0.0418978185763392,0.204689566359253,1.02848116589896,0.204732395589692,0.242560440798136,0.932377049180328,0.948770491803279,0.959016393442623,0.119490063956728,0.199569897005181
2.29647100858502e-05,-1.53203076774493e-05,0.0418978185763392,0.204689566359253,1.02848116589896,0.204732395589692,0.242560440798136,0.932377049180328,0.948770491803279,0.959016393442623,0.115097455218962,0.19659028038368
2.29647100858502e-05,-1.53203076774493e-05,0.0418978185763392,0.204689566359253,1.02848116589896,0.204732395589692,0.242560440798136,0.932377049180328,0.948770491803279,0.959016393442623,0.0991821810267731,0.197558279711558
2.29647100858502e-05,-1.53203076774493e-05,0.0418978185763392,0.204689566359253,1.02848116589896,0.204732395589692,0.242560440798136,0.932377049180328,0.948770491803279,0.959016393442623,0.0677256502984564,0.199474282146978
2.29647100858502e-05,-1.53203076774493e-05,0.0418978185763392,0.204689566359253,1.02848116589896,0.204732395589692,0.242560440798136,0.932377049180328,0.948770491803279,0.959016393442623,0.133559975773138,0.197798388501183
2.29647100858502e-05,-1.53203076774493e-05,0.0418978185763392,0.204689566359253,1.02848116589896,0.204732395589692,0.242560440798136,0.932377049180328,0.948770491803279,0.959016393442623,0.0370455389977001,0.200966692617944
2.29647100858502e-05,-1.53203076774493e-05,0.0418978185763392,0.204689566359253,1.02848116589896,0.204732395589692,0.242560440798136,0.932377049180328,0.948770491803279,0.959016393442623,0.14698983639127,0.200088192929295
2.29647100858502e-05,-1.53203076774493e-05,0.0418978185763392,0.204689566359253,1.02848116589896,0.204732395589692,0.242560440798136,0.932377049180328,0.948770491803279,0.959016393442623,0.183755484787207,0.204542565914083
2.29647100858502e-05,-1.53203076774493e-05,0.0418978185763392,0.204689566359253,1.02848116589896,0.204732395589692,0.242560440798136,0.932377049180328,0.948770491803279,0.959016393442623,0.0824597332077139,0.197477231131459
2.29647100858502e-05,-1.53203076774493e-05,0.0418978185763392,0.204689566359253,1.02848116589896,0.204732395589692,0.242560440798136,0.932377049180328,0.948770491803279,0.959016393442623,0.106226246025931,0.196574534162561
