"pointid","xcoord","ycoord"
85,411293.616732827,4453214.31380672
86,412246.616662711,4453127.31381312
87,412144.616670216,4453293.31380091
88,409318.616878137,4452286.313875
89,409397.616872324,4452751.31384078
90,409953.616831417,4453459.31378869
91,410125.616818762,4453307.31379988
92,410039.616825089,4453248.31380422
93,410018.616826635,4453493.31378619
94,409306.616879019,4453571.31378045
95,409269.616881742,4453611.31377751
96,409866.616837818,4453792.31376419
97,409608.6168568,4454115.31374043
98,409582.616858713,4454108.31374094
99,410296.616806181,4452851.31383343
100,410681.616777855,4453658.31377405
101,410348.616802355,4453796.3137639
102,410931.616759461,4454383.31372071
103,411139.616744158,4454950.31367899
104,411048.616750853,4455116.31366678
105,410844.616765862,4455280.31365471
106,410131.616818321,4454925.31368083
107,411284.616733489,4455260.31365618
108,410794.616769541,4455638.31362837
109,410617.616782564,4455846.31361307
110,411400.616724955,4453173.31380973
111,411678.616704501,4454111.31374072
112,412587.616637622,4453783.31376485
113,412546.616640639,4453875.31375809
114,412501.616643949,4453961.31375176
115,412236.616663447,4454208.31373359
116,412608.616636077,4454545.31370879
117,412452.616647555,4455224.31365883
118,411546.616714213,4454903.31368245
119,411587.616711196,4455677.3136255
120,411541.616714581,4455738.31362102
121,409639.616854519,4454222.31373256
122,409056.616897413,4454043.31374572
123,409386.616873134,4454408.31371887
124,409655.616853342,4454245.31373086
125,409426.616870191,4454507.31371159
126,409306.616879019,4454551.31370835
127,409280.616880932,4454974.31367723
128,409034.616899032,4455178.31366222
129,410136.616817953,4455090.31366869
130,408480.616939792,4454425.31371762
131,408626.61692905,4454600.31370474
132,408604.616930669,4454553.3137082
133,408435.616943103,4454634.31370224
134,408724.61692184,4454861.31368554
135,408614.616929933,4454837.31368731
136,408970.616903741,4455236.31365795
137,408859.616911907,4455325.3136514
138,408773.616918235,4455316.31365206
139,408725.616921766,4455700.31362381
140,413352.616581338,4450698.31399183
141,413539.616567579,4450760.31398727
142,413542.616567359,4450759.31398734
143,412995.616607604,4451324.31394577
144,414144.616523067,4451564.31392812
145,412994.616607677,4451541.31392981
146,413839.616545507,4452206.31388088
147,413234.616590019,4452287.31387492
148,412895.616614961,4452714.31384351
149,413474.616572362,4452761.31384005
150,413574.616565004,4452805.31383681
151,413553.616566549,4452895.31383019
152,413522.61656883,4452991.31382313
153,413299.616585237,4453159.31381076
154,413402.616577659,4453290.31380113
155,413830.616546169,4453581.31377972
156,414051.616529909,4453658.31377405
157,408936.616906242,4449171.31410418
158,408638.616928167,4449698.31406541
159,408353.616949136,4449597.31407284
160,408702.616923458,4449743.31406209
161,408591.616931625,4449943.31404738
162,408957.616904697,4449841.31405488
163,408043.616971944,4450757.31398749
164,408775.616918087,4450964.31397226
165,408309.616952373,4451218.31395357
166,408890.616909626,4451470.31393503
167,408147.616964292,4449262.31409748
